ayush_term,ayush_description,icd11_term,confidence,reason
Amavata,Inflammatory joint disorder caused by accumulation of ama and vata imbalance,Bone wasting,0.1,"Amavata is described as an 'inflammatory joint disorder'. The provided ICD-11 options lack any direct term for joint disorders, inflammation of joints, or arthritis. Among the given choices, 'Bone wasting' (progressive loss of bone density) is the only option that pertains to the skeletal system, which is anatomically related to joints. However, the specific pathology of 'inflammatory joint disorder' (Amavata) is distinct from 'loss of bone density'. Therefore, 'Bone wasting' is chosen as the least semantically dissimilar option, despite the significant difference in pathology, due to the absence of a more appropriate match."
Jwara,Febrile condition caused by infection or dosha imbalance,Mixed infection fever,0.95,"Jwara is described as a 'febrile condition caused by infection.' The ICD-11 term 'Mixed infection fever' directly aligns with the core clinical manifestation (fever) and its etiology (infection), even if the 'dosha imbalance' aspect is a traditional concept not directly translatable to ICD-11. The presence of 'fever' and 'infection' makes this the most semantically similar match."
Kasa,Respiratory disorder characterized by persistent cough,Asthma,0.9,"Kasa is described as a 'Respiratory disorder characterized by persistent cough.' Asthma is defined as a 'Chronic inflammatory airway disease,' which is a type of respiratory disorder. The term 'chronic' aligns well with 'persistent,' and a persistent cough is a common and characteristic symptom of asthma. While 'Inflammatory cough' directly describes the cough, 'Asthma' better encapsulates the 'Respiratory disorder' aspect along with the persistent nature of the cough."
Tamaka Shwasa,Chronic respiratory disorder comparable to bronchial asthma,,0.0,"The AYUSH disease 'Tamaka Shwasa' is described as a 'Chronic respiratory disorder comparable to bronchial asthma'. None of the provided ICD-11 options are related to respiratory disorders, therefore no semantically similar match could be found in the given list."
Udavarta,Disorder caused by upward movement of vata,Dyspepsia,0.9,"Udavarta in Ayurveda refers to the upward or abnormal movement of Vata, often due to the suppression of natural bodily urges (like flatus, defecation, hunger, thirst, or vomiting). This 'upward movement of vata' frequently manifests as symptoms in the gastrointestinal tract, such as abdominal distension, bloating, gas, heartburn, and general discomfort in the upper abdomen. The ICD-11 term 'Dyspepsia,' defined as 'Indigestion and upper abdominal discomfort,' directly aligns with these common manifestations of Udavarta caused by the upward movement of Vata in the digestive system. While Udavarta can have other manifestations (e.g., urinary issues), dyspepsia is one of the most direct and common symptomatic outcomes implied by the 'upward movement of vata' description among the given options."
Mutrakrichra,Urinary disorder with painful micturition,Urinary retention,0.7,"The AYUSH disease 'Mutrakrichra' is described as a 'Urinary disorder with painful micturition.' Among the provided ICD options, 'Urinary retention' is the only term that explicitly refers to a disorder of the urinary system. Although 'Urinary retention' specifically means the inability to empty the bladder, it is a urinary tract condition, and painful micturition (dysuria) can be a symptom associated with conditions that cause or coexist with urinary retention (e.g., urinary tract infection, bladder outlet obstruction). Given the choices, it is the most semantically relevant option within the correct anatomical system."
Mutraghata,Urinary retention disorder,Urinary retention,1.0,The AYUSH description 'Urinary retention disorder' directly matches the ICD-11 term 'Urinary retention' which is described as 'Inability to empty bladder'. Both terms refer to the same medical condition.
Kustha,Chronic skin disorder including psoriasis and eczema,Taste disorder,0.0,"Kustha is described as a 'Chronic skin disorder including psoriasis and eczema'. None of the provided ICD-11 options relate to skin disorders. Therefore, no semantically similar match exists in the given list. 'Taste disorder' is chosen arbitrarily to fulfill the JSON structure, with confidence set to 0.0 to reflect the complete lack of semantic similarity."
Chardi,Vomiting disorder,Pediatric diarrhea,0.2,"Chardi is described as a 'Vomiting disorder', which is a gastrointestinal symptom-based condition. Among the provided ICD options, 'Pediatric diarrhea' is the only other gastrointestinal symptom-based condition. While vomiting and diarrhea are opposing symptoms, they both relate to the expulsion of contents from the gastrointestinal tract and represent functional disorders of this system. No other option directly or indirectly describes a 'vomiting disorder' or a closely related gastrointestinal condition, making this the most, albeit weakly, semantically similar option among the given choices."
Trishna,Excessive thirst disorder,Urinary tract disorder,0.7,"Trishna describes an 'Excessive thirst disorder'. While 'excessive thirst' (polydipsia) is a symptom, it is often associated with conditions that affect fluid balance and the urinary system, such as diabetes mellitus or diabetes insipidus, which lead to increased urination (polyuria). Therefore, a primary 'excessive thirst disorder' frequently involves or is a consequence of issues with the urinary system's role in fluid regulation. Among the given options, 'Urinary tract disorder' is the most semantically proximate category, as the physiological mechanisms underlying excessive thirst often directly impact or are impacted by urinary function, even if it's not a perfect direct match for 'excessive thirst' itself."
Aruchi,Loss of appetite disorder,Loss of appetite,1.0,The AYUSH disease 'Aruchi' is described as 'Loss of appetite disorder'. The ICD-11 term 'Loss of appetite' with the description 'Reduced desire to eat' is a direct and exact semantic match for the given AYUSH condition.
Hikka,Hiccup disorder,Gastritis,0.1,"The AYUSH term 'Hikka' describes a hiccup disorder. No direct semantic equivalent for 'hiccup disorder' or 'singultus' exists in the provided ICD-11 options. However, gastrointestinal irritation and disorders, such as gastritis (inflammation of the gastric mucosa), are known potential causes or triggers for hiccups. Therefore, Gastritis is chosen as the least dissimilar option, albeit with very low confidence, as 'Hikka' refers to the symptom/condition itself rather than an underlying cause."
